"NOIND","PERIODE","SISA_CUTI"
"0000329","2016","0"
"0000330","2016","0"
"0000331","2016","2"
"0000332","2016","1"
"0000333","2016","2"
"0000334","2016","0"
"0000335","2016","5"
"0000336","2016","0"
"0000337","2016","1"
"0000338","2016","2"
"0000339","2016","1"
"0000340","2016","0"
"0000341","2016","2"
"0000342","2016","6"
"0000344","2016","0"
"0000345","2016","4"
"0000346","2016","8"
"0000347","2016","6"
"0000348","2016","1"
"0000349","2016","1"
"0000350","2016","1"
"0000351","2016","0"
"0000352","2016","5"
"0000353","2016","2"
"0000354","2016","1"
"0000355","2016","2"
"0000356","2016","3"
"0000357","2016","5"
"0000358","2016","1"
"0000359","2016","5"
"0000360","2016","0"
"0000361","2016","3"
"0000362","2016","0"
"0000363","2016","0"
"0000364","2016","6"
"0000365","2016","5"
"0000366","2016","3"
"0000367","2016","1"
"0000368","2016","6"
"0000369","2016","0"
"0000370","2016","3"
"0000371","2016","2"
"0000372","2016","8"
"0000373","2016","0"
"0000374","2016","6"
"0000375","2016","1"
"0000377","2016","0"
"0000378","2016","2"
"0000379","2016","1"
"0000380","2016","0"
"0000381","2016","2"
"0000382","2016","0"
"0000383","2016","0"
"0000384","2016","6"
"0000385","2016","1"
"0000386","2016","4"
"0000387","2016","10"
"0000388","2016","1"
"0000389","2016","2"
"0000390","2016","3"
"0000391","2016","2"
"0000392","2016","4"
"0000393","2016","2"
"0000394","2016","2"
"0000395","2016","0"
"0000396","2016","0"
"0000397","2016","0"
"0000398","2016","2"
"0000399","2016","9"
"0000400","2016","9"
"0000401","2016","0"
"0000402","2016","10"
"0000403","2016","1"
"0000404","2016","10"
"0000405","2016","0"
"0000406","2016","7"
"0000408","2016","0"
"0000409","2016","7"
"0000410","2016","3"
"0000411","2016","5"
"0000412","2016","2"
"0000413","2016","3"
"0000414","2016","0"
"0000415","2016","6"
"0000416","2016","10"
"0000417","2016","6"
"0000418","2016","10"
"0000419","2016","6"
"0000420","2016","0"
"0000421","2016","6"
"0000422","2016","2"
"0000423","2016","3"
"0000424","2016","4"
"0000425","2016","1"
"0000426","2016","1"
"0000428","2016","3"
"0000429","2016","3"
